President,Party,from,until,Vice President,title,date,info,speech,entities
Donald Trump,Republican,2017,2021,1.0,"January 8, 2020: Statement on Iran",2020-01-08 00:00:00,"After the killing of General Qasem Soleimani of Iran a few days earlier, President Trump responds to Iranian missile attacks against US military personnel in Iraq. He notes that there were no casualties and defends his decision to order the killing of Soleimani.","As long as I am President of the United States, Iran will never be allowed to have a nuclear weapon. Good morning.  I’m pleased to inform you: The American people should be extremely grateful and happy no Americans were harmed in last night’s attack by the Iranian regime.  We suffered no casualties, all of our soldiers are safe, and only minimal damage was sustained at our military bases. Our great American forces are prepared for anything.  Iran appears to be standing down, which is a good thing for all parties concerned and a very good thing for the world. No American or Iraqi lives were lost because of the precautions taken, the dispersal of forces, and an early warning system that worked very well.  I salute the incredible skill and courage of America’s men and women in uniform. For far too long — all the way back to 1979, to be exact — nations have tolerated Iran’s destructive and destabilizing behavior in the Middle East and beyond.  Those days are over.  Iran has been the leading sponsor of terrorism, and their pursuit of nuclear weapons threatens the civilized world.  We will never let that happen. Last week, we took decisive action to stop a ruthless terrorist from threatening American lives.  At my direction, the United States military eliminated the world’s top terrorist, Qasem Soleimani.  As the head of the Quds Force, Soleimani was personally responsible for some of the absolutely worst atrocities. He trained terrorist armies, including Hezbollah, launching terrorist strikes against civilian targets.  He fueled bloody civil wars all across the region.  He viciously wounded and murdered thousands of U. S.  troops, including the planting of roadside bombs that maim and dismember their victims. Soleimani directed the recent attacks on US personnel in Iraq that badly wounded four service members and killed one American, and he orchestrated the violent assault on the US embassy in Baghdad.  In recent days, he was planning new attacks on American targets, but we stopped him. Soleimani’s hands were drenched in both American and Iranian blood.  He should have been terminated long ago.  By removing Soleimani, we have sent a powerful message to terrorists: If you value your own life, you will not threaten the lives of our people. As we continue to evaluate options in response to Iranian aggression, the United States will immediately impose additional punishing economic sanctions on the Iranian regime.  These powerful sanctions will remain until Iran changes its behavior. In recent months alone, Iran has seized ships in international waters, fired an unprovoked strike on Saudi Arabia, and shot down two US drones. Iran’s hostilities substantially increased after the foolish Iran nuclear deal was signed in 2013, and they were given $150 billion, not to mention $1. 8 billion in cash.  Instead of saying “thank you” to the United States, they chanted “death to America. ” In fact, they chanted “death to America” the day the agreement was signed. Then, Iran went on a terror spree, funded by the money from the deal, and created hell in Yemen, Syria, Lebanon, Afghanistan, and Iraq.  The missiles fired last night at us and our allies were paid for with the funds made available by the last administration.  The regime also greatly tightened the reins on their own country, even recently killing 1,500 people at the many protests that are taking place all throughout Iran. The very defective JCPOA expires shortly anyway, and gives Iran a clear and quick path to nuclear breakout.  Iran must abandon its nuclear ambitions and end its support for terrorism.  The time has come for the United Kingdom, Germany, France, Russia, and China to recognize this reality. They must now break away from the remnants of the Iran deal -– or JCPOA –- and we must all work together toward making a deal with Iran that makes the world a safer and more peaceful place.  We must also make a deal that allows Iran to thrive and prosper, and take advantage of its enormous untapped potential.  Iran can be a great country. Peace and stability cannot prevail in the Middle East as long as Iran continues to foment violence, unrest, hatred, and war.  The civilized world must send a clear and unified message to the Iranian regime: Your campaign of terror, murder, mayhem will not be tolerated any longer.  It will not be allowed to go forward. Today, I am going to ask NATO to become much more involved in the Middle East process.  Over the last three years, under my leadership, our economy is stronger than ever before and America has achieved energy independence.  These historic accomplishments changed our strategic priorities.  These are accomplishments that nobody thought were possible.  And options in the Middle East became available.  We are now the number-one producer of oil and natural gas anywhere in the world.  We are independent, and we do not need Middle East oil. The American military has been completely rebuilt under my administration, at a cost of $2. 5 trillion.  US Armed Forces are stronger than ever before.  Our missiles are big, powerful, accurate, lethal, and fast.  Under construction are many hypersonic missiles. The fact that we have this great military and equipment, however, does not mean we have to use it.  We do not want to use it.  American strength, both military and economic, is the best deterrent. Three months ago, after destroying 100 percent of ISIS and its territorial caliphate, we killed the savage leader of ISIS, al-Baghdadi, who was responsible for so much death, including the mass beheadings of Christians, Muslims, and all who stood in his way.  He was a monster.  Al-Baghdadi was trying again to rebuild the ISIS caliphate, and failed. Tens of thousands of ISIS fighters have been killed or captured during my administration.  ISIS is a natural enemy of Iran  The destruction of ISIS is good for Iran, and we should work together on this and other shared priorities. Finally, to the people and leaders of Iran: We want you to have a future and a great future — one that you deserve, one of prosperity at home, and harmony with the nations of the world.  The United States is ready to embrace peace with all who seek it. I want to thank you, and God bless America.   Thank you very much.   Thank you.   Thank you. ","['Qasem Soleimani', 'Soleimani', 'Soleimani', 'Al-Baghdadi']"
Donald Trump,Republican,2017,2021,1.0,"January 3, 2020: Remarks on the Killing of Qasem Soleimani",2020-01-03 00:00:00,"President Trump announces that the US military killed General Qasem Soleimani, the leader of the Iranian Quds Force. The president cites Soleimani as ""the number-one terrorist anywhere in the world.""","Hello, everybody.  Well, thank you very much.  And good afternoon. As President, my highest and most solemn duty is the defense of our nation and its citizens. Last night, at my direction, the United States military successfully executed a flawless precision strike that killed the number-one terrorist anywhere in the world, Qasem Soleimani. Soleimani was plotting imminent and sinister attacks on American diplomats and military personnel, but we caught him in the act and terminated him. Under my leadership, America’s policy is unambiguous: To terrorists who harm or intend to harm any American, we will find you; we will eliminate you.  We will always protect our diplomats, service members, all Americans, and our allies. For years, the Islamic Revolutionary Guard Corps and its ruthless Quds Force — under Soleimani’s leadership — has targeted, injured, and murdered hundreds of American civilians and servicemen. The recent attacks on US targets in Iraq, including rocket strikes that killed an American and injured four American servicemen very badly, as well as a violent assault on our embassy in Baghdad, were carried out at the direction of Soleimani. Soleimani made the death of innocent people his sick passion, contributing to terrorist plots as far away as New Delhi and London. Today we remember and honor the victims of Soleimani’s many atrocities, and we take comfort in knowing that his reign of terror is over. Soleimani has been perpetrating acts of terror to destabilize the Middle East for the last 20 years.  What the United States did yesterday should have been done long ago.  A lot of lives would have been saved. Just recently, Soleimani led the brutal repression of protestors in Iran, where more than a thousand innocent civilians were tortured and killed by their own government. We took action last night to stop a war.  We did not take action to start a war. I have deep respect for the Iranian people.  They are a remarkable people, with an incredible heritage and unlimited potential.  We do not seek regime change.  However, the Iranian regime’s aggression in the region, including the use of proxy fighters to destabilize its neighbors, must end, and it must end now. The future belongs to the people of Iran — those who seek peaceful coexistence and cooperation — not the terrorist warlords who plunder their nation to finance bloodshed abroad. The United States has the best military by far, anywhere in the world.  We have best intelligence in the world.  If Americans anywhere are threatened, we have all of those targets already fully identified, and I am ready and prepared to take whatever action is necessary.  And that, in particular, refers to Iran. Under my leadership, we have destroyed the ISIS territorial caliphate, and recently, American Special Operations Forces killed the terrorist leader known as al-Baghdadi.  The world is a safer place without these monsters. America will always pursue the interests of good people, great people, great souls, while seeking peace, harmony, and friendship with all of the nations of the world. Thank you.  God bless you.  God bless our great military.  And God bless the United States of America.  Thank you very much.  Thank you. ","['Qasem Soleimani', 'Soleimani', 'Soleimani', 'Soleimani', 'Soleimani', 'God', 'God', 'God']"
Donald Trump,Republican,2017,2021,1.0,"October 27, 2019: Statement on the the Death of Abu Bakr al-Baghdadi",2019-10-27 00:00:00,"President Donald Trump announces the death of Abu Bakr al-Baghdadi, the founder and leader of ISIS. U.S. special forces executed a nighttime raid in northwest Syria and trapped Baghdadi in a tunnel. He then detonated a suicide vest, killing himself and those around him.","Last night, the United States brought the world’s number one terrorist leader to justice.  Abu Bakr al-Baghdadi is dead.   He was the founder and leader of ISIS, the most ruthless and violent terror organization in the World.   The United States has been searching for Baghdadi for many years.   Capturing or killing Baghdadi has been the top national security priority of my Administration.   U. S.  Special Operations forces executed a dangerous and daring nighttime raid into Northwestern Syria to accomplish this mission. No U. S.  personnel were lost in the operation, while a large number of Baghdadi’s fighters and companions were killed with him.   He died after running into a dead-end tunnel, whimpering and crying and screaming.   The compound had been cleared by this time, with people either surrendering or being shot and killed.   Eleven young children were moved out of the house un-injured.   The only ones remaining were Baghdadi in the tunnel, who had dragged three children with him to certain death.   He reached the end of the tunnel, as our dogs chased him down.  He ignited his vest, killing himself and the three children.   His body was mutilated by the blast, but test results gave certain and positive identification. The thug who tried so hard to intimidate others spent his last moments in utter fear, panic and dread – terrified of the American Forces bearing down. We were in the compound for approximately 2 hours, and after the mission was accomplished we took highly sensitive material and information from the raid. Baghdadi’s demise demonstrates America’s relentless pursuit of terrorist leaders, and our commitment to the enduring and total defeat of ISIS!The reach of America is long.   As you know, last month we announced that we recently killed Hamza Bin Laden, the very violent son of Osama Bin Laden, who was saying very bad things. He was the heir apparent to Al Qaeda.  Terrorists who oppress and murder innocent people should never sleep soundly, knowing that we will completely destroy them.  These savage monsters will not escape their fate – and they will not escape the final judgement of God. Baghdadi has been on the run for many years, long before I took office.  At my direction, as Commander-in-Chief, the United States obliterated his ‘caliphate’ in March of this year.   Today’s events are another reminder that we will continue to pursue the remaining ISIS terrorists to their brutal end. Baghdadi and the losers who worked with him – in some cases people who had no idea what they were getting into and how dangerous and unglamorous it was – killed many people.   Their murder of innocent Americans Jim Foley, Steven Sotloff, Peter Kassig, and Kayla Mueller were especially heinous.   The shocking publicized murder of a Jordanian pilot who was burned alive in a cage for all to see, and the execution of Christians in Libya and Egypt, as well as the genocidal mass murder of Yazidis, rank ISIS among the most depraved organizations in history. The forced religious conversions, the orange suits prior to many beheadings, all of which were openly displayed for the world – this was all Abu Bakr al-Baghdadi’s work.   He was vicious and violent, and he died in a vicious and violent way, as a coward, running and crying.   This raid was impeccable, and could only have taken place with the acknowledgement and help of certain other nations and people. I want to thank the nations of Russia, Turkey, Syria and Iraq, and I also want to thank the Syrian Kurds for certain support they were able to give us.  Thank you as well to the great intelligence professionals who helped make this very successful journey possible. I want to thank the soldiers, sailors, airmen, and marines involved in last night’s operation.   You are the very best there is anywhere in the world.   I want to thank General Mark Milley and our Joint Chiefs of Staff, and I also want to thank our professionals who work in other agencies of the United States government and were critical to the mission’s success. Last night was a great night for the United States and for the World.  A brutal killer, one who has caused so much hardship and death, was violently eliminated – he will never again harm another innocent man, woman or child.   He died like a dog.   He died like a coward.   The world is now a much safer place. God bless the United States of America!","['Abu Bakr al-Baghdadi', 'U. S.  Special Operations', 'Hamza Bin Laden', 'Osama Bin Laden', 'Jim Foley', 'Steven Sotloff', 'Peter Kassig', 'Kayla Mueller', 'Yazidis', 'Abu Bakr al-Baghdadi’s', 'Mark Milley', 'God']"
